股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-07-10 00:00:00,10.5,10.45,10.51,10.4,95732035.0,999718250.0,0.493,-0.05,,-0.4762
000001,2026-07-13 00:00:00,10.42,10.54,10.55,10.38,92474624.0,971033140.0,0.477,0.09,,0.8612
000001,2026-07-14 00:00:00,10.53,10.69,10.7,10.48,119371535.0,1267511180.0,0.615,0.15,,1.4231
000001,2026-07-15 00:00:00,10.65,10.84,10.87,10.63,98142155.0,1059209090.0,0.506,0.15,,1.4032
000001,2026-07-16 00:00:00,10.85,10.77,10.93,10.72,80076623.0,864435900.0,0.413,-0.07,,-0.6458
000001,2026-07-17 00:00:00,10.75,10.78,10.88,10.72,107549901.0,1163189280.0,0.554,0.01,,0.0929
000001,2026-07-20 00:00:00,10.75,10.98,11.0,10.74,156730390.0,1713460200.0,0.808,0.2,,1.8553
000001,2026-07-21 00:00:00,10.99,10.84,11.13,10.83,175511290.0,1925298900.0,0.904,-0.14,,-1.275
000001,2026-07-22 00:00:00,10.81,10.98,10.98,10.77,102948394.0,1120150610.0,0.531,0.14,,1.2915
000001,2026-07-23 00:00:00,10.92,11.08,11.12,10.9,109574268.0,1210838020.0,0.565,0.1,,0.9107
000001,2026-07-24 00:00:00,11.09,11.1,11.18,11.09,114093292.0,1269361120.0,0.588,0.02,,0.1805
000002,2026-07-10 00:00:00,2.99,3.11,3.14,2.95,216014510.0,665318290.0,2.223,0.12,,4.0134
000002,2026-07-13 00:00:00,3.05,3.03,3.09,3.02,160654000.0,489579930.0,1.653,-0.08,,-2.5723
000002,2026-07-14 00:00:00,3.03,3.05,3.05,2.99,83858700.0,253676770.0,0.863,0.02,,0.6601
000002,2026-07-15 00:00:00,3.03,3.13,3.14,3.02,149764610.0,465493110.0,1.541,0.08,,2.623
000002,2026-07-16 00:00:00,3.11,3.23,3.24,3.09,203325860.0,645350060.0,2.093,0.1,,3.1949
000002,2026-07-17 00:00:00,3.2,3.1,3.26,3.08,192498550.0,606470470.0,1.981,-0.13,,-4.0248
000002,2026-07-20 00:00:00,3.09,3.15,3.17,3.07,161553610.0,505119120.0,1.663,0.05,,1.6129
000002,2026-07-21 00:00:00,3.12,3.13,3.17,3.1,138402990.0,432657760.0,1.424,-0.02,,-0.6349
000002,2026-07-22 00:00:00,3.11,3.19,3.22,3.09,163572260.0,517044810.0,1.683,0.06,,1.9169
000002,2026-07-23 00:00:00,3.16,3.17,3.17,3.1,112395903.0,352557750.0,1.157,-0.02,,-0.627
000002,2026-07-24 00:00:00,3.14,3.07,3.17,3.07,112405079.0,349079950.0,1.157,-0.1,,-3.1546
000063,2026-07-10 00:00:00,39.8,40.53,43.0,39.63,450271800.0,18634061000.0,11.18,0.73,,1.8342
000063,2026-07-13 00:00:00,41.0,40.04,42.5,39.58,332314430.0,13691866000.0,8.251,-0.49,,-1.209
000063,2026-07-14 00:00:00,41.0,39.91,41.58,37.61,307129590.0,11991109100.0,7.626,-0.13,,-0.3247
000063,2026-07-15 00:00:00,40.4,39.45,41.28,38.79,267769160.0,10679576700.0,6.648,-0.46,,-1.1526
000063,2026-07-16 00:00:00,40.0,40.0,41.41,39.3,361370010.0,14582857000.0,8.972,0.55,,1.3942
000063,2026-07-17 00:00:00,38.97,36.0,39.26,36.0,349713060.0,12871409000.0,8.683,-4.0,,-10.0
000063,2026-07-20 00:00:00,36.0,33.73,36.18,33.14,307859100.0,10650334800.0,7.644,-2.27,,-6.3056
000063,2026-07-21 00:00:00,33.85,34.88,34.94,32.39,235192030.0,7976105400.0,5.84,1.15,,3.4094
